time,peak,duration,energy,sharpness,label
0.059,23,0.0,0.4393,0.9876,noise
0.059,23,0.0,0.4393,0.9876,noise
0.059,23,0.0,0.4414,0.9876,noise
0.059,23,0.0,0.4393,0.9876,noise
0.059,23,0.0,0.4414,0.9876,noise
0.059,23,0.0,0.4393,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.435,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.435,0.9876,noise
0.059,23,0.0,0.435,0.9876,noise
0.059,23,0.0,0.4329,0.9876,noise
0.059,23,0.0,0.435,0.9876,noise
0.059,23,0.0,0.4329,0.9876,noise
0.059,23,0.0,0.435,0.9876,noise
0.059,23,0.0,0.435,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4393,0.9876,noise
0.059,23,0.0,0.4393,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.059,23,0.0,0.4372,0.9876,noise
0.07,23,0.0,0.4372,0.9876,noise
0.07,23,0.0,0.4372,0.9876,noise
0.07,23,0.0,0.4372,0.9876,noise
0.07,23,0.0,0.4372,0.9876,noise
0.07,23,0.0,0.435,0.9876,noise
0.07,23,0.0,0.435,0.9876,noise
0.07,23,0.0,0.435,0.9876,noise
0.07,23,0.0,0.435,0.9876,noise
0.07,23,0.0,0.435,0.9876,noise
0.07,23,0.0,0.43,0.9876,noise
0.07,23,0.0,0.4279,0.9876,noise
0.07,23,0.0,0.4279,0.9876,noise
0.074,23,0.0,0.43,0.9876,noise
0.074,23,0.0,0.425,0.9876,noise
0.074,23,0.0,0.4229,0.9876,noise
0.074,23,0.0,0.4229,0.9876,noise
0.075,23,0.0,0.4208,0.9876,noise
0.075,23,0.0,0.4208,0.9876,noise
0.075,23,0.0,0.4229,0.9876,noise
0.075,23,0.0,0.4229,0.9876,noise
0.075,23,0.0,0.4208,0.9876,noise
0.075,23,0.0,0.4208,0.9876,noise
0.076,23,0.0,0.4229,0.9876,noise
0.076,23,0.0,0.4229,0.9876,noise
0.076,23,0.0,0.425,0.9876,noise
0.076,23,0.0,0.425,0.9876,noise
0.079,23,0.0,0.4229,0.9876,noise
0.079,23,0.0,0.4208,0.9876,noise
0.079,23,0.0,0.4229,0.9876,noise
0.079,23,0.0,0.4229,0.9876,noise
0.079,23,0.0,0.4208,0.9876,noise
0.079,23,0.0,0.4208,0.9876,noise
0.079,23,0.0,0.4187,0.9876,noise
0.079,23,0.0,0.4187,0.9876,noise
0.079,23,0.0,0.4208,0.9876,noise
0.079,23,0.0,0.4208,0.9876,noise
0.079,23,0.0,0.4187,0.9876,noise
0.08,23,0.0,0.4237,0.9876,noise
0.08,23,0.0,0.4258,0.9876,noise
0.08,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4279,0.9876,noise
0.083,23,0.0,0.4279,0.9876,noise
0.083,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4258,0.9876,noise
0.083,23,0.0,0.4237,0.9876,noise
0.083,23,0.0,0.4237,0.9876,noise
0.083,23,0.0,0.4237,0.9876,noise
0.083,23,0.0,0.4237,0.9876,noise
0.083,23,0.0,0.4216,0.9876,noise
0.084,23,0.0,0.4216,0.9876,noise
0.087,23,0.0,0.4237,0.9876,noise
0.087,23,0.0,0.4187,0.9876,noise
0.087,23,0.0,0.4208,0.9876,noise
0.087,23,0.0,0.4208,0.9876,noise
0.087,23,0.0,0.4187,0.9876,noise
0.087,23,0.0,0.4187,0.9876,noise
0.087,23,0.0,0.4208,0.9876,noise
0.088,23,0.0,0.4208,0.9876,noise
0.088,23,0.0,0.4187,0.9876,noise
0.088,23,0.0,0.4187,0.9876,noise
0.089,23,0.0,0.4187,0.9876,noise
0.089,23,0.0,0.4237,0.9876,noise
0.089,23,0.0,0.4237,0.9876,noise
0.089,23,0.0,0.4237,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4279,0.9876,noise
0.091,23,0.0,0.4279,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4258,0.9876,noise
0.091,23,0.0,0.4237,0.9876,noise
0.092,23,0.0,0.4237,0.9876,noise
0.092,23,0.0,0.4237,0.9876,noise
0.092,23,0.0,0.4237,0.9876,noise
0.095,23,0.0,0.4237,0.9876,noise
0.095,23,0.0,0.4237,0.9876,noise
0.095,23,0.0,0.4216,0.9876,noise
0.095,23,0.0,0.4216,0.9876,noise
0.095,23,0.0,0.4216,0.9876,noise
0.095,23,0.0,0.4216,0.9876,noise
0.095,23,0.0,0.4216,0.9876,noise
0.095,23,0.0,0.4166,0.9876,noise
0.095,23,0.0,0.4166,0.9876,noise
0.095,23,0.0,0.4166,0.9876,noise
0.096,23,0.0,0.4187,0.9876,noise
0.096,23,0.0,0.4208,0.9876,noise
0.096,23,0.0,0.4187,0.9876,noise
0.096,23,0.0,0.4187,0.9876,noise
0.099,23,0.0,0.4208,0.9876,noise
0.099,23,0.0,0.4208,0.9876,noise
0.099,23,0.0,0.4229,0.9876,noise
0.099,23,0.0,0.4229,0.9876,noise
0.099,23,0.0,0.4208,0.9876,noise
0.099,23,0.0,0.4208,0.9876,noise
0.099,23,0.0,0.4208,0.9876,noise
0.099,23,0.0,0.4208,0.9876,noise
0.1,23,0.0,0.4208,0.9876,noise
0.1,23,0.0,0.4208,0.9876,noise
0.1,23,0.0,0.4187,0.9876,noise
0.1,23,0.0,0.4187,0.9876,noise
0.1,23,0.0,0.4208,0.9876,noise
0.1,23,0.0,0.4208,0.9876,noise
0.103,23,0.0,0.4187,0.9876,noise
0.103,23,0.0,0.4187,0.9876,noise
0.103,23,0.0,0.4166,0.9876,noise
0.103,23,0.0,0.4144,0.9876,noise
0.103,23,0.0,0.4144,0.9876,noise
0.103,23,0.0,0.4144,0.9876,noise
0.104,23,0.0,0.4144,0.9876,noise
0.104,23,0.0,0.4144,0.9876,noise
0.104,23,0.0,0.4166,0.9876,noise
0.104,23,0.0,0.4166,0.9876,noise
0.104,23,0.0,0.4187,0.9876,noise
0.104,23,0.0,0.4187,0.9876,noise
0.106,23,0.0,0.4166,0.9876,noise
0.106,23,0.0,0.4187,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4187,0.9876,noise
0.107,23,0.0,0.4187,0.9876,noise
